# Configuracion:
# Concentracion g/m^3_=_8100.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135562.75878079917
# 
Resultados:
# tau_s_=_(6.12+/-0.16)e-08
# dphi_rad_=_6.34+/-0.00
# SAR_W/g_=_197.52+/-5.09
# Hc_kA/m_=_4.09+/-0.07
# Mr_A/m_=_155.32+/-2.84
# Suceptibilidad_a_M=0_=_0.0418+/-0.0006

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_150dA_100Mss_Ni0cRC006.txt	23/05/2024 16:31:54	17.6	152.73	4.13	57041.50	853.93	1.355626e+05	7.393855e+00	6.338281e+00	207.04	6.475095e-08	4426	4.022e-02
135kHz_150dA_100Mss_Ni0cRC007.txt	23/05/2024 16:31:56	17.6	154.57	4.15	57041.50	848.34	1.355626e+05	7.401345e+00	6.337637e+00	204.83	6.399190e-08	4426	4.126e-02
135kHz_150dA_100Mss_Ni0cRC008.txt	23/05/2024 16:31:57	17.6	152.42	4.11	57041.50	862.16	1.355626e+05	7.440807e+00	6.335778e+00	198.90	6.180262e-08	4426	4.109e-02
135kHz_150dA_100Mss_Ni0cRC009.txt	23/05/2024 16:31:58	17.6	152.90	4.09	57041.50	850.70	1.355626e+05	7.372380e+00	6.333477e+00	188.46	5.909453e-08	4426	4.066e-02
135kHz_150dA_100Mss_Ni0cRC010.txt	23/05/2024 16:31:59	17.7	152.38	4.09	57041.50	854.56	1.355626e+05	7.422820e+00	6.336968e+00	202.91	6.320402e-08	4426	4.100e-02
135kHz_150dA_100Mss_Ni0cRC011.txt	23/05/2024 16:32:00	17.7	161.41	4.27	57041.50	851.85	1.355626e+05	7.447001e+00	6.337761e+00	206.57	6.413805e-08	4426	4.188e-02
135kHz_150dA_100Mss_Ni0cRC012.txt	23/05/2024 16:32:01	17.6	159.44	4.23	57041.50	851.96	1.355626e+05	7.439847e+00	6.336455e+00	201.43	6.260074e-08	4426	4.190e-02
135kHz_150dA_100Mss_Ni0cRC013.txt	23/05/2024 16:32:02	17.6	155.64	4.10	57041.50	848.50	1.355320e+05	7.444412e+00	6.333153e+00	189.03	5.871321e-08	4427	4.189e-02
135kHz_150dA_100Mss_Ni0cRC014.txt	23/05/2024 16:32:03	17.7	157.30	4.15	57041.50	849.93	1.355320e+05	7.469112e+00	6.334931e+00	196.40	6.080652e-08	4427	4.162e-02
135kHz_150dA_100Mss_Ni0cRC015.txt	23/05/2024 16:32:04	17.7	156.55	4.13	57041.50	852.19	1.355626e+05	7.457745e+00	6.336084e+00	200.51	6.216378e-08	4426	4.156e-02
135kHz_150dA_100Mss_Ni0cRC016.txt	23/05/2024 16:32:05	17.7	152.00	4.02	57041.50	853.12	1.355626e+05	7.448334e+00	6.334645e+00	194.82	6.046962e-08	4426	4.123e-02
135kHz_150dA_100Mss_Ni0cRC017.txt	23/05/2024 16:32:06	17.7	156.41	4.14	57041.50	844.63	1.355626e+05	7.428332e+00	6.335916e+00	199.09	6.196605e-08	4426	4.232e-02
135kHz_150dA_100Mss_Ni0cRC018.txt	23/05/2024 16:32:07	17.7	153.57	4.05	57041.50	857.14	1.355626e+05	7.496593e+00	6.334335e+00	194.90	6.010504e-08	4426	4.234e-02
135kHz_150dA_100Mss_Ni0cRC019.txt	23/05/2024 16:32:10	17.7	154.67	4.08	57041.50	845.71	1.355626e+05	7.430393e+00	6.334601e+00	194.18	6.041771e-08	4426	4.223e-02
135kHz_150dA_100Mss_Ni0cRC020.txt	23/05/2024 16:32:11	17.7	158.90	4.17	57041.50	838.48	1.355626e+05	7.440136e+00	6.333864e+00	191.65	5.955056e-08	4426	4.284e-02
135kHz_150dA_100Mss_Ni0cRC021.txt	23/05/2024 16:32:12	17.7	149.95	3.99	57041.50	854.54	1.355626e+05	7.420414e+00	6.335127e+00	195.90	6.103567e-08	4426	4.105e-02
135kHz_150dA_100Mss_Ni0cRC022.txt	23/05/2024 16:32:13	17.7	155.71	4.08	57041.50	864.27	1.355626e+05	7.489602e+00	6.335900e+00	200.67	6.194734e-08	4426	4.158e-02
135kHz_150dA_100Mss_Ni0cRC023.txt	23/05/2024 16:32:14	17.7	157.48	4.12	57041.50	850.91	1.355626e+05	7.469867e+00	6.336549e+00	202.60	6.271113e-08	4426	4.166e-02
